시군구별(1),시군구별(2),2019,2019,2019,2019,2019
시군구별(1),시군구별(2),응답자수 (명),조율 (%),조율표준오차,표준화율 (%),표준화율표준오차
,성주군,884,3.0,0.6,2.9,1.0
,안동시,895,8.2,1.2,7.4,1.1
,영덕군,886,4.6,0.9,3.8,1.1
,영양군,864,5.4,1.2,4.3,1.2
,영주시,897,4.8,0.9,4.7,1.0
,영천시,894,7.6,1.0,7.1,1.2
,예천군,885,2.9,0.5,1.5,0.4
,울릉군,832,0.2,0.1,0.1,0.1
,울진군,890,4.5,0.7,3.3,0.7
,의성군,887,4.4,1.0,4.4,1.8
,청도군,886,11.1,1.3,8.7,1.5
,청송군,872,3.1,0.7,3.7,1.4
,칠곡군,894,6.1,0.8,5.8,0.8
,포항시,"1,798",6.4,0.6,6.0,0.6
경상남도,소계,"17,942",4.9,0.2,4.8,0.3
,거제시,903,7.3,0.9,7.3,1.0
,거창군,894,5.3,0.8,5.1,1.0
,고성군,893,4.2,0.9,3.6,1.1
,김해시,904,7.1,0.9,7.2,0.9
,남해군,890,5.4,0.8,5.0,1.2
,창원시,"2,713",4.7,0.4,4.7,0.5
,밀양시,900,2.8,0.6,1.5,0.3
,사천시,901,3.3,0.6,3.2,0.7
,산청군,885,7.7,1.2,6.6,1.4
,양산시,903,3.6,0.8,3.6,0.7
,의령군,880,3.9,0.6,3.5,0.7
,진주시,906,3.5,0.5,3.3,0.6
,창녕군,900,2.3,0.6,2.6,0.8
,통영시,901,6.0,1.1,5.3,1.0
,하동군,891,4.3,0.7,4.2,1.1
,함안군,900,2.9,0.5,2.7,0.7
,함양군,887,2.9,0.5,2.7,0.7
,합천군,891,3.4,0.6,2.4,0.6
제주특별자치도,소계,"5,049",4.8,0.5,4.6,0.5
,서귀포시,"2,514",4.4,0.5,4.2,0.6
,제주시,"2,535",4.9,0.7,4.7,0.6
