"시설ID","시설명","서비스분류코드","서비스분류명","자치구코드","자치구명","연령구분코드","연령구분","X좌표값","Y좌표값","우편번호","기본주소","상세주소","사이트유무","사이트URL","사용료무료여부","사용료","평일시작시간","평일종료시간","사용시간구분코드","사용시간구분","시작시간1","종료시간1","시작시간2","종료시간2","시작시간3","종료시간3","토요일운영여부","토요일운영시작시간","토요일운영종료시간","등록일시","수정일시"
"YC191104","해맞이열린육아방","1002","열린육아방","11470","양천구","1001","영유아","126.83563","37.51901","08042","서울 양천구 지양로 37(신월동 해맞이도서관) ","1층 해맞이장난감도서관","Y","https://www.ychccic.or.kr/","N","1000","0930","1730","N","시간제운영","1000","1200","1300","1500","1530","1730","N","","","2019-11-20 14:52:49.0","2019-11-26 13:25:24.0"
"SM191105","서대문구육아종합지원센터 열린육아방","1002","열린육아방","11410","서대문구","1001","영유아","126.92000124762656","37.57307176094129","03711","서울특별시 서대문구 모래내로15길 31","2층 (남가좌동)","Y","https://www.sdmccic.or.kr/?pno=030102","Y","0","1000","1700","N","시간제운영","1000","1200","1300","1500","1500","1700","Y","1000","1500","2019-11-20 14:52:49.0","2019-11-27 14:37:03.0"
"EP191102","은평 열린육아방","1002","열린육아방","11380","은평구","1001","영유아","126.93662","37.6116","03366","서울특별시 은평구 진흥로 265 ","주민공동시설 1층","Y","http://www.epmjuccic.co.kr","N","","0900","1700","N","시간제운영","1000","1200","1300","1500","1500","1700","Y","1000","1700","2019-11-20 14:52:49.0","2019-11-26 15:22:38.0"
"YC191103","해누리열린육아방","1002","열린육아방","11470","양천구","1001","영유아","126.86391","37.51594","08094","서울시 양천구 목동동로 81","해누리타운 3층","Y","https://www.ychccic.or.kr","N","1000","0930","1730","N","시간제운영","1000","1200","1300","1500","1530","1730","N","","","2019-11-20 14:52:49.0","2019-11-26 13:26:13.0"
"NW191102","1호점 상계8동 도담도담나눔터(열린육아방)","1002","열린육아방","11350","노원구","1001","영유아","127.05469","37.66595","01619","서울특별시 노원구 동일로227길 49","참새어린이공원 내","Y","https://www.nwscc.or.kr/php/index.php?pno=03080401","Y","0","1000","1730","N","시간제운영","1000","1200","1300","1500","1530","1730","N","","","2019-11-20 14:52:48.0","2021-06-01 15:43:31.0"
"JR191113","햇살아래열린육아방","1002","열린육아방","11260","중랑구","1001","영유아","127.11283","37.61475","02262","서울특별시 중랑구 신내역로 131","햇살아래어린이집 2층","Y","https://www.jungnang.go.kr/portal/main/contents.do?menuNo=201065","Y","0","1000","1730","N","시간제운영","1000","1200","1300","1500","1530","1730","Y","1000","1700","2019-11-20 14:52:48.0","2019-11-27 16:35:16.0"
"SB191104","장위행복누림부모지원센터","1002","열린육아방","11290","성북구","1001","영유아","127.04584528255997","37.615906003765375","02755","서울특별시 성북구 장위로21다길 53","장위행복누림복합센터 1층","Y","https://sbhappy.sb.go.kr","N","","1000","1700","N","시간제운영","1000","1200","1300","1500","1500","1700","N","","","2019-11-20 14:52:48.0","2019-12-08 19:08:20.0"
"JR191108","상봉키움열린육아방","1002","열린육아방","11260","중랑구","1001","영유아","127.09212","37.6022","02079","서울특별시 중랑구 신내로7가길 71","경로당 2층","Y","https://www.jungnang.go.kr/portal/main/contents.do?menuNo=201065","Y","0","1000","1730","N","시간제운영","1000","1200","1300","1500","1530","1730","Y","1000","1700","2019-11-20 14:52:47.0","2019-11-27 16:30:49.0"
"JR191110","아이틔움열린육아방","1002","열린육아방","11260","중랑구","1001","영유아","127.10151","37.60058","02059","서울특별시 중랑구 망우로67길 10","망우본동복합청사 6층","Y","https://www.jungnang.go.kr/portal/main/contents.do?menuNo=201065","Y","0","1000","1730","N","시간제운영","1000","1200","1300","1500","1530","1730","Y","1000","1700","2019-11-20 14:52:47.0","2019-11-27 16:32:45.0"
"JR191111","장미향기열린육아방","1002","열린육아방","11260","중랑구","1001","영유아","127.07356","37.60724","02011","서울특별시 중랑구 중랑천로 252-1","경로당 2층","Y","https://www.jungnang.go.kr/portal/main/contents.do?menuNo=201065","Y","0","1000","1730","N","시간제운영","1000","1200","1300","1500","1530","1730","Y","1000","1700","2019-11-20 14:52:47.0","2019-11-27 16:33:38.0"
"JR191107","면목열린육아방","1002","열린육아방","11260","중랑구","1001","영유아","127.07949","37.58321","02232","서울특별시 중랑구 동일로 591","장난감도서관 2층","Y","https://www.jungnang.go.kr/portal/main/contents.do?menuNo=201065","Y","0","1000","1730","N","시간제운영","1000","1200","1300","1500","1530","1730","Y","1000","1700","2019-11-20 14:52:47.0","2019-11-27 16:29:51.0"
"JR191109","아이사랑열린육아방","1002","열린육아방","11260","중랑구","1001","영유아","127.09424","37.5971","02169","서울특별시 중랑구 망우로60길 37","효성써너스빌 에코 2층","Y","https://www.jungnang.go.kr/portal/main/contents.do?menuNo=201065","Y","0","1000","1730","N","시간제운영","1000","1200","1300","1500","1530","1730","Y","1000","1700","2019-11-20 14:52:47.0","2019-11-27 16:31:47.0"
"JR191112","중화열린육아방","1002","열린육아방","11260","중랑구","1001","영유아","127.07492","37.59504","02110","서울특별시 중랑구 중랑역로3길 28","장난감도서관 2층","Y","https://www.jungnang.go.kr/portal/main/contents.do?menuNo=201065","Y","0","1000","1730","N","시간제운영","1000","1200","1300","1500","1530","1730","Y","1000","1700","2019-11-20 14:52:47.0","2019-11-27 16:34:30.0"
"DM191104","꿈자람공동육아방 배봉산점","1002","열린육아방","11230","동대문구","1001","영유아","127.06279","37.5784","02508","서울특별시 동대문구 전농로 16길 97","배봉산숲속도서관 1층 꿈자람공동육아방 배봉산점 ","Y","https://www.ddmccic.or.kr/new/raise/association3.html","Y","0","1000","1730","N","시간제운영","1000","1200","1300","1500","1530","1730","Y","1000","1730","2019-11-20 14:52:46.0","2021-07-15 17:20:43.0"
"JR191105","도란도란열린육아방","1002","열린육아방","11260","중랑구","1001","영유아","127.08536977276893","37.598302100936934","02097","서울특별시 중랑구 봉화산로30길 89","1층 (상봉동 시온빌라트)","Y","https://www.jungnang.go.kr/portal/main/contents.do?menuNo=201065","Y","0","1000","1730","N","시간제운영","1000","1200","1300","1500","1530","1730","Y","1000","1700","2019-11-20 14:52:46.0","2019-11-27 16:35:46.0"
"JR191106","먹골꼬마열린육아방","1002","열린육아방","11260","중랑구","1001","영유아","127.08361","37.61757","02030","서울특별시 중랑구 공릉로12가길 70-15","경로당 2층","Y","https://www.jungnang.go.kr/portal/main/contents.do?menuNo=201065","Y","0","1000","1730","N","시간제운영","1000","1200","1300","1500","1530","1730","Y","1000","1700","2019-11-20 14:52:46.0","2019-11-27 16:28:45.0"
"DM191103","꿈자람공동육아방 답십리점","1002","열린육아방","11230","동대문구","1001","영유아","127.04795","37.57206","02597","서울특별시 동대문구 황물로 62 ","동대문구육아종합지원센터 2층 ","Y","https://www.ddmccic.or.kr/new/raise/association1.html","Y","0","1000","1730","N","시간제운영","1000","1130","1400","1530","1600","1730","Y","1000","1730","2019-11-20 14:52:46.0","2021-07-15 17:22:27.0"
"JG191101","키즈앤맘 열린육아방","1002","열린육아방","11140","중구","1001","영유아","127.01484","37.56129","04586","서울특별시 중구 다산로32길 5 ","3층 중구육아종합지원센터","Y","http://www.jgkids.or.kr/index.php?MenuID=72","N","1000","0900","1800","Y","종일운영","0900","1800","","","","","Y","0900","1700","2019-11-20 14:52:45.0","2019-11-26 15:06:09.0"
