기간	자치구	동	일반가구	일반가구	일반가구	일반가구	일반가구	일반가구	일반가구	일반가구
기간	자치구	동	계	1인가구	2인가구	3인가구	4인가구	5인가구	6인가구	7인이상 가구
2020	노원구	상계9동	7,994	1,765	2,361	2,042	1,538	238	36	14
2020	노원구	상계10동	6,248	1,431	1,967	1,517	1,153	140	31	9
2020	노원구	상계3.4동	10,884	3,275	3,309	2,209	1,621	384	67	19
2020	노원구	상계6.7동	13,044	3,524	3,646	3,071	2,361	380	52	10
2020	노원구	중계2.3동	14,359	4,119	4,302	3,158	2,321	382	69	8
2020	노원구	공릉1동	17,254	7,356	4,078	3,000	2,219	468	112	21
2020	은평구	소계	190,631	57,853	54,542	40,464	29,125	6,928	1,387	332
2020	은평구	녹번동	15,705	5,033	4,701	3,314	2,068	493	81	15
2020	은평구	불광1동	15,989	4,730	4,876	3,484	2,283	497	97	22
2020	은평구	갈현1동	9,944	3,373	2,945	1,967	1,290	287	60	22
2020	은평구	갈현2동	11,473	3,136	3,385	2,591	1,820	434	87	20
2020	은평구	구산동	11,848	2,785	3,474	2,828	2,101	544	87	29
2020	은평구	대조동	12,810	5,597	3,441	2,109	1,274	299	79	11
2020	은평구	응암1동	11,145	3,771	3,122	2,211	1,615	353	59	14
2020	은평구	응암2동	10,121	2,171	2,807	2,655	2,009	386	71	22
2020	은평구	신사1동	10,970	3,009	3,254	2,468	1,747	395	82	15
2020	은평구	신사2동	8,232	2,314	2,417	1,803	1,328	280	70	20
2020	은평구	증산동	6,166	1,736	1,867	1,316	951	237	44	15
2020	은평구	수색동	3,598	963	1,116	801	566	117	32	X
2020	은평구	진관동	19,989	4,742	4,706	4,452	4,506	1,272	257	54
2020	은평구	불광2동	12,584	4,589	3,660	2,409	1,472	366	72	16
2020	은평구	응암3동	11,289	4,431	3,268	1,966	1,244	300	61	19
2020	은평구	역촌동	18,768	5,473	5,503	4,090	2,851	668	148	35
2020	서대문구	소계	133,112	49,863	33,611	25,595	18,769	4,222	860	192
2020	서대문구	천연동	7,186	2,388	1,884	1,508	1,111	248	41	6
2020	서대문구	홍제1동	9,541	2,736	2,692	2,158	1,529	344	62	20
2020	서대문구	홍제3동	6,463	2,027	1,844	1,381	958	199	43	11
2020	서대문구	홍제2동	5,493	1,443	1,590	1,293	933	200	28	6
2020	서대문구	홍은1동	8,867	2,538	2,464	1,961	1,461	365	60	18
2020	서대문구	홍은2동	11,177	3,769	3,114	2,241	1,560	370	91	32
